212.037, 132.925, 5.000,  6.500 False
212.538, 132.921, 5.008,  6.600 False
213.038, 132.916, 4.998,  6.700 False
213.538, 132.913, 5.006,  6.800 False
214.039, 132.909, 5.010,  6.900 False
214.540, 132.905, 4.990,  7.000 False
215.039, 132.902, 5.001,  7.100 False
215.540, 132.899, 5.008,  7.200 False
216.040, 132.896, 4.985,  7.300 False
216.539, 132.894, 4.999,  7.400 False
217.040, 132.892, 5.008,  7.500 False
217.541, 132.891, 5.012,  7.600 False
218.040, 132.889, 4.997,  7.700 False
218.541, 132.888, 5.004,  7.800 False
219.041, 132.887, 5.008,  7.900 False
219.542, 132.887, 4.997,  8.000 False
220.042, 132.886, 5.004,  8.100 False
220.542, 132.886, 5.007,  8.200 False
221.042, 132.885, 4.997,  8.300 False
221.543, 132.885, 5.003,  8.400 False
222.043, 132.885, 5.007,  8.500 False
222.543, 132.885, 4.992,  8.600 False
223.043, 132.885, 5.000,  8.700 False
223.543, 132.885, 5.006,  8.800 False
224.044, 132.886, 5.000,  8.900 False
224.544, 132.886, 5.004,  9.000 False
225.044, 132.886, 5.007,  9.100 False
225.545, 132.887, 4.992,  9.200 False
226.044, 132.888, 5.001,  9.300 False
226.545, 132.889, 5.006,  9.400 False
227.045, 132.890, 5.001,  9.500 False
227.544, 132.891, 4.996,  9.600 False
228.044, 132.892, 5.003,  9.700 False
228.545, 132.893, 5.007,  9.800 False
229.045, 132.894, 4.987,  9.900 False
229.544, 132.895, 4.999, 10.000 False
230.045, 132.896, 5.006, 10.100 False
230.546, 132.898, 5.010, 10.200 False
231.046, 132.899, 5.000, 10.300 False
231.546, 132.900, 5.005, 10.400 False
232.047, 132.902, 5.008, 10.500 False
232.547, 132.903, 4.999, 10.600 False
233.047, 132.905, 5.003, 10.700 False
233.547, 132.906, 5.005, 10.800 False
234.047, 132.908, 4.996, 10.900 False
234.547, 132.909, 5.001, 11.000 False
235.048, 132.911, 5.005, 11.100 False
235.548, 132.912, 5.005, 11.200 False
236.048, 132.913, 4.998, 11.300 False
236.548, 132.915, 5.003, 11.400 False
237.048, 132.916, 5.005, 11.500 False
237.548, 132.917, 4.994, 11.600 False
238.048, 132.919, 5.000, 11.700 False
238.548, 132.920, 5.004, 11.800 False
239.049, 132.921, 5.003, 11.900 False
239.548, 132.923, 4.996, 12.000 False
240.048, 132.924, 5.002, 12.100 False
240.549, 132.925, 5.005, 12.200 False
241.049, 132.926, 4.994, 12.300 False
241.549, 132.927, 5.000, 12.400 False
242.049, 132.928, 5.005, 12.500 False
242.550, 132.930, 5.003, 12.600 False
243.049, 132.931, 4.999, 12.700 False
243.550, 132.932, 5.004, 12.800 False
244.050, 132.933, 5.007, 12.900 False
244.550, 132.934, 4.996, 13.000 False
245.050, 132.936, 5.001, 13.100 False
245.550, 132.936, 5.005, 13.200 False
246.051, 132.938, 5.004, 13.300 False
246.550, 132.938, 4.998, 13.400 False
247.050, 132.939, 5.002, 13.500 False
247.551, 132.940, 5.005, 13.600 False
248.050, 132.941, 4.992, 13.700 False
248.550, 132.942, 4.999, 13.800 False
249.050, 132.943, 5.004, 13.900 False
249.551, 132.943, 5.007, 14.000 False
250.051, 132.944, 4.997, 14.100 False
250.551, 132.944, 5.002, 14.200 False
251.051, 132.945, 5.004, 14.300 False
251.551, 132.945, 4.992, 14.400 False
252.051, 132.946, 4.999, 14.500 False
252.551, 132.946, 5.004, 14.600 False
253.052, 132.946, 5.007, 14.700 False
253.551, 132.947, 4.997, 14.800 False
254.052, 132.947, 5.002, 14.900 False
254.552, 132.947, 5.005, 15.000 False
255.052, 132.947, 4.993, 15.100 False
255.552, 132.947, 5.000, 15.200 False
256.052, 132.948, 5.004, 15.300 False
256.553, 132.948, 5.007, 15.400 False
257.053, 132.948, 4.997, 15.500 False
257.553, 132.948, 5.002, 15.600 False
258.053, 132.948, 5.004, 15.700 False
258.553, 132.948, 4.992, 15.800 False
259.053, 132.948, 4.999, 15.900 False
259.553, 132.948, 5.004, 16.000 False
260.054, 132.948, 5.007, 16.100 False
260.553, 132.948, 4.997, 16.200 False
261.053, 132.948, 5.002, 16.300 False
261.554, 132.947, 5.004, 16.400 False
262.054, 132.947, 4.993, 16.500 False
262.554, 132.947, 4.999, 16.600 False
263.054, 132.947, 5.004, 16.700 False
263.554, 132.947, 5.007, 16.800 False
264.054, 132.947, 4.997, 16.900 False
264.554, 132.947, 5.002, 17.000 False
265.055, 132.946, 5.004, 17.100 False
265.555, 132.946, 4.993, 17.200 False
266.054, 132.946, 4.999, 17.300 False
266.555, 132.946, 5.004, 17.400 False
267.055, 132.946, 5.007, 17.500 False
267.555, 132.945, 4.997, 17.600 False
268.055, 132.945, 5.001, 17.700 False
268.555, 132.945, 5.004, 17.800 False
